run	lumisection	evt
297424	65	73171922
297603	402	724597337
297487	531	681749143
297219	1164	1959797910
299065	123	188234150
297430	190	361297503
297114	140	239176045
297487	190	253029483
299149	285	374982001
297599	82	127276429
297505	203	307486500
297604	269	437876677
297487	518	665958428
297656	428	709492665
297487	572	730810961
297178	693	866248061
297557	386	642751123
299061	237	322485869
297485	140	241913490
297292	415	749767062
299329	40	69613410
297433	129	201374857
299065	141	215754645
297296	312	449290467
297100	222	410280242
297487	226	300474871
297411	434	698849884
297411	671	1118749756
297675	320	548846993
297113	2	214107
297665	85	142494976
297100	129	232755404
297292	112	209037776
297674	55	89923639
297219	610	1145549737
297558	57	86200755
297558	246	404361540
297674	48	78382139
297178	1242	1424159877
297178	794	976908366
297219	638	1191541861
297292	257	468115539
297467	59	62477217
297722	179	246651461
297722	180	248658773
299061	276	390068788
299061	323	471953478
299184	330	544089556
297620	89	98328056
297484	108	209479899
297505	124	189572722
297563	234	318034564
297219	1773	2691538154
297722	78	61844374
299184	370	613007840
297604	177	292166171
297675	302	518548121
297603	310	562069433
297484	17	33720069
297484	192	365156702
297723	141	262359104
297604	143	238782348
297219	396	781651585
297411	442	711380937
297557	78	115481619
297665	103	173939424
297620	308	453044639
297411	117	157490798
297486	418	677611733
297603	229	411714648
297424	90	117405443
299481	352	417976709
300811	406	674954745
300122	272	367195053
299369	172	238270018
300122	693	966919267
300401	73	74403270
300467	371	369375989
300238	263	263318518
300157	943	936611401
300817	273	381902956
300157	1015	1000854916
300122	810	1111441685
300122	1262	1695468339
300237	543	752606328
301323	889	838607871
300400	206	311696948
301323	334	330391454
301330	254	258595294
299395	132	194324947
300226	388	535617470
300122	200	258291147
300461	48	72237107
300389	78	103648699
300400	224	338421392
300817	485	660930297
300466	214	289170844
300400	616	908307287
301323	582	569707487
299478	52	79293816
299597	53	57054535
299597	65	71489016
300785	1070	1246695113
300812	15	23107784
300400	152	229551381
300155	240	301537340
300122	819	1123711076
299481	166	198165860
300400	580	856359926
300122	1044	1427918679
300123	504	551161732
300817	303	425005225
300157	884	883285201
299380	51	22733807
300284	444	603770841
299597	391	415191427
300122	816	1118639229
299479	49	67350920
300240	321	286250202
299481	172	204786070
300234	12	18763208
300811	48	76586825
300811	382	639254110
300280	469	604075829
300280	491	637637379
300400	645	947000911
300284	532	713789678
299369	267	359213317
299370	328	415829693
300777	471	727684973
300284	513	690095791
299593	486	613641143
300284	500	673119534
300400	370	546162198
300226	228	284097220
300401	340	403178918
300817	337	472632029
300464	245	355406329
300280	266	321780563
300157	593	616757548
300122	349	476692247
300122	289	393192911
300400	270	405121299
300237	639	870854820
300280	494	642360641
300122	924	1276163521
300155	685	921857576
300157	817	822536781
300280	301	366428388
300631	186	225421967
300785	73	98883001
300576	432	650941803
301392	17	17044155
300780	113	166084172
301519	162	121802919
301524	88	81278754
300515	458	749537233
301165	55	40062201
300515	639	1021221835
301384	185	216614950
301384	282	319252733
300515	225	387153209
300785	314	413277801
300576	248	383184822
300459	177	256371500
300515	71	122440571
301987	65	51200888
301142	414	366530016
300236	102	136680024
300122	148	177156764
299597	395	419230903
300237	17	24295904
300817	167	233265668
300742	233	342415398
300497	139	183267226
300576	947	1367839401
301392	548	526346818
300777	96	123690975
300777	193	291278795
300742	91	78350378
300560	701	779229643
300560	712	789700592
300515	200	345415315
300576	297	457067246
300576	446	671500882
300466	298	394434263
302029	15	18474458
301384	473	511150546
301161	471	398983088
300240	285	255019197
301997	79	56378026
300576	856	1250616738
301985	63	68190509
301524	63	57626119
300811	98	159731880
301161	250	204407348
300515	960	1487940380
301524	196	177235136
301330	97	85925955
300636	266	366901636
300400	127	189556694
301183	88	77895593
300633	332	502511387
301985	139	150395738
300636	1266	1474615373
300558	491	685732311
300785	99	134689153
301142	285	264070849
300155	650	874544350
300777	477	736341175
300122	583	814001928
299593	259	279936560
300283	12	18242985
299594	190	239975053
300636	1559	1735665030
300742	119	130760715
301959	460	538018751
300560	554	630745256
300560	503	577363037
301997	196	199305956
300466	328	431994454
300576	726	1073876665
300517	577	670777386
301142	162	157736589
300558	46	58637480
301283	662	553544213
300558	507	705998877
301694	80	81919968
300742	245	362622270
301281	116	78497514
300576	793	1168995003
301330	330	336603945
300636	676	863637665
301283	14	10887763
300742	251	371789943
301997	239	249203320
300155	912	1235076653
301987	423	317326362
301531	4	2601267
300635	59	83272516
301997	59	29082421
301529	3	1879530
300560	530	605783538
301283	281	252081800
300558	213	302240818
301987	336	256111580
301142	363	327477706
301359	226	220027955
301986	121	109787264
300155	508	679763596
299380	210	258843413
300235	106	162088669
301323	820	781553464
300280	415	522061289
299481	776	859691737
299478	27	43351933
301567	202	195590988
301627	620	533009090
301959	144	161858922
301959	969	1019307034
301519	80	38103703
301532	64	41776243
301475	5	3492078
301567	347	340690734
301941	334	318999299
301449	284	219919899
301665	37	33636881
301475	12	8533477
301448	324	276004634
301531	17	12601590
301472	762	722454329
301960	92	54072247
301627	195	160459925
301397	387	286572953
301417	279	288756998
301998	610	556437354
301532	536	327217303
301987	951	650105163
301472	737	700170996
301449	81	63352234
301448	200	173522792
301397	380	281430565
301914	78	55135455
301476	13	10477192
301959	1269	1259038312
300226	108	100034581
300155	653	878895708
300122	802	1100993062
299593	792	1037011623
300235	144	219737558
301998	463	436079058
301998	551	509425720
301959	313	371287015
301448	46	41684821
301476	421	324327715
301448	71	62922658
301532	563	342188656
301970	121	141254303
301665	206	177196880
301627	129	87966674
301941	182	173005003
301627	353	314356929
301998	1040	887293105
301941	187	177445385
301397	711	511344787
301472	375	360065493
300466	74	102447079
300155	1096	1471764773
299595	81	96571514
300464	163	238535271
300817	122	168750542
300122	346	472427453
300464	150	219176655
300122	157	192722010
300122	171	213106871
300806	87	83195491
300812	32	50067347
300155	137	155681865
299369	190	262038135
300284	3	2055933
302448	433	514247810
302473	74	74315493
302573	181	191989947
302163	42	7179680
302263	1119	912562289
302448	1024	1113304706
302280	1	233587
302392	140	150551920
302485	657	760836979
302163	476	433374639
302225	415	369251630
302485	151	194967001
302485	396	483999126
302131	595	524899644
302472	323	405672440
302328	56	11910092
302473	238	230852174
302485	44	58493555
302393	634	680230058
302031	749	734781996
302494	458	383379515
302263	562	496480145
302163	1194	973611893
302131	789	678151854
302485	300	377462117
302572	50	55202085
302472	795	929220656
302263	143	138816891
302485	598	700960568
302350	3	1748800
302635	846	783161117
302388	310	367541475
302322	541	443044750
302322	543	444730917
302388	697	779899800
302523	30	44789676
302663	541	649828923
302388	322	380916656
302472	107	119907229
302228	238	210032054
302031	634	637426954
302597	18	16923269
302573	1225	1096148248
302597	812	681904689
302663	488	589431508
302634	256	304236539
302596	167	181023340
302573	978	906035412
302596	479	564762213
302635	713	674438481
302596	323	379236782
302525	265	342484805
302573	1207	1082455408
302525	376	472415345
302654	193	237755925
302596	508	597317829
302597	647	551326551
302573	525	527357532
302479	285	362061058
302485	86	114310415
302573	471	478308553
302572	227	260382587
302635	848	784466626
302635	961	874429046
302663	147	191614702
302573	229	240778472
302597	563	483359366
302634	361	436617552
302663	91	120879040
302635	1046	941815787
302635	1007	910860112
302651	33	47302119
302525	255	330484342
302596	263	306054044
302597	366	323174619
302573	908	851290964
302553	120	152385468
302476	156	119205758
302043	91	52237281
302479	107	107914050
302263	855	725665067
302263	941	788257091
302031	203	220340588
302229	430	402463519
302472	400	496397665
302393	97	114705790
302474	293	241066563
304508	1154	1383157669
304662	53	76949652
303885	160	172577155
304169	103	91668701
304507	113	129629320
303885	1660	2030334210
303885	1465	1857488666
304333	1375	2080466979
304062	274	397821517
303838	1466	1844472812
304169	446	697303278
303838	1718	2052053527
304333	759	1242533749
303948	232	340150602
304200	162	311055718
304169	512	805660537
304292	1706	2269711469
304292	272	556376185
304292	1391	2004289747
304144	1826	2688150152
304797	1601	2526871677
304144	1022	1752484298
304292	687	1232829654
304170	567	486085427
304333	1000	1619828919
304366	552	910826139
303832	718	875175202
304616	503	816166964
304062	1337	1807572992
304292	1662	2235914456
304292	709	1262450876
303832	202	223699418
303832	511	639822976
304144	560	970486454
304169	1607	2068069623
304169	869	1289255299
303838	977	1360054111
303832	1701	1732785407
304506	219	357143969
304447	1180	1855664873
304292	796	1375151557
304508	603	844783840
304333	567	896546690
304144	389	630270667
304144	393	639157284
304200	33	61552469
304144	2401	3168997267
304333	222	323144344
304507	222	272717233
304506	9	13708342
303838	769	1114864895
304204	234	317446279
304158	1169	1481643544
304366	1323	2058197749
304144	786	1387382094
303838	1227	1620689440
304169	187	248580273
304169	192	259687769
304508	878	1132894677
303838	1354	1744670582
304797	453	817743731
304366	775	1303067900
304797	1712	2635681024
303948	1587	2148819412
303948	1570	2132853410
303948	788	1244086592
304169	485	760924497
