run   lumisection evt
297100 179 322138114
299149 304 407829374
297722 286 433351486
297113 14 24742348
297219 952 1671584477
297467 121 182348997
297503 228 418061020
297503 452 828780108
297558 21 22690376
297056 88 118031147
297219 43 85206920
297178 1278 1461536934
297485 295 517857488
297433 81 126982150
297434 90 134020384
297505 370 544654621
297487 368 481055631
297434 68 102180459
297558 119 193805862
297483 172 231525194
297484 175 332805337
297178 14 19264423
297178 896 1083759130
297178 953 1142374358
297178 959 1148967304
297101 176 248990745
297411 914 1516851533
297101 508 672905464
297101 487 646849074
297488 123 142962982
297411 43 21822554
297411 160 236225550
297411 872 1452010854
297411 490 796517177
297467 105 150342921
297433 125 195047612
299067 36 40446039
297722 207 297654333
297296 216 313563000
297219 1912 2838583826
297605 201 296683715
299185 73 112257190
299149 416 591848052
299184 46 70849004
297656 210 336740160
298996 195 204437288
299149 54 31981535
297467 76 94336164
297468 53 95816509
297468 55 99338965
297503 439 804755933
297485 229 393906451
297562 340 532060448
297411 508 829708731
297101 611 795000641
299067 437 531309857
299184 251 403926717
299184 372 615839767
297101 673 866098504
297425 49 78691038
297620 238 345609994
297620 279 408979851
297175 64 109467600
297292 64 119199303
299064 79 121832223
297219 1645 2550468624
297469 14 25404291
297486 196 329469716
297219 1880 2806170096
297656 79 95642227
297675 413 701840364
297722 138 172669019
298996 135 121252788
297722 274 412793589
297604 319 515048790
299067 273 343172424
297292 430 775372536
297292 498 898689305
297723 138 257851935
297293 21 32345101
299149 76 67865319
297296 76 111477169
297675 368 628390223
299062 152 254043304
297424 48 41790440
297424 92 120513317
297425 56 90141148
297606 126 160401364
299067 262 328042656
297603 103 173659400
297722 152 197083586
299369 22 21938367
300400 617 910097195
300401 357 423210465
299481 491 561118286
300365 1 347264
300400 384 565555442
300464 14 19152944
300462 18 24358204
299593 402 490959636
299481 646 725748949
300466 172 235555537
299481 874 957111617
300389 136 220808445
301323 281 276546007
299597 51 55676694
300400 87 124720453
299594 225 282744031
299597 265 288396008
300400 178 269665300
301330 94 82856337
299593 380 456002709
299597 27 27574772
299597 389 413206937
301330 114 106299504
300461 84 124654337
300401 465 548233645
301298 748 713495993
301323 179 164085690
301298 936 869796880
299370 489 627391939
299369 109 150729462
299593 636 820654733
299593 224 228069752
300400 566 837056720
301323 579 567282552
299593 756 987138281
300401 22 9386465
301323 462 455405016
299593 825 1085426313
300400 24 33879373
301323 61 29466793
301323 672 651518027
300401 234 277042316
299597 432 455132999
299595 44 52484517
300389 104 155958901
300463 116 170973974
299396 25 43712179
299396 37 60484905
301323 833 792239170
301330 135 129417334
299594 279 348639312
300401 70 71158042
300463 76 110275769
300401 501 589042529
301298 641 618393513
301323 715 690089547
299597 148 161471243
299649 167 228862583
299649 271 381243221
300106 59 100446501
301998 369 353990214
301998 416 395837511
300105 9 5984407
301998 122 124232685
300107 13 21024219
300107 37 59958325
301391 88 55779244
300122 148 177141523
300122 1066 1455569420
300122 1110 1508096508
300122 168 208106346
300122 916 1264130724
300122 1125 1528104748
300156 46 52053850
300123 591 637571640
300122 1040 1423285691
300123 193 225862213
300123 422 466122827
300226 117 114133986
300785 1151 1325698655
300284 679 886270603
300284 517 695475078
300811 398 664074812
300811 398 664158395
300123 311 354938936
300157 34 31632520
300817 348 487835794
300817 414 573992913
300237 446 625889230
300240 129 113567804
300155 350 458904508
300155 380 501702333
300155 851 1149280770
300155 853 1151814308
300155 727 979282735
300240 156 138329354
300155 1200 1597362832
300237 316 445239706
300155 222 273927152
300155 422 557516718
300236 72 92841346
300236 120 161187857
300238 278 279993449
300240 125 110611048
300240 127 111786528
300237 467 653581077
300237 482 673057359
300155 510 682794398
300155 529 710086270
300155 506 676095104
300155 1220 1621347236
300238 66 42857411
300240 220 197028057
300155 1017 1371827407
300155 1087 1460557630
300237 504 701601353
300237 522 725278274
300240 40 29634817
300155 801 1078405981
300155 1156 1545212213
300226 154 168574935
300576 532 795669685
300226 119 118223337
301524 18 16662426
301532 38 24999856
300806 57 31355204
300811 130 219084341
300811 208 358654994
300576 755 1116262179
300400 126 187754644
300280 82 53026589
300122 551 767290684
300777 377 575448350
300459 55 41459917
302029 50 60379320
300497 121 153141441
300497 132 172234951
300466 524 661780829
300459 100 122902459
300466 439 565737986
300466 444 570026091
300514 128 166153330
300516 56 69672448
301531 120 89188379
300515 32 55556920
300516 24 28910988
300282 16 22798551
300806 104 114415121
300466 398 515850640
300466 406 525065726
300466 481 614376555
300514 60 50873411
300466 489 622806741
