run	lumisection	evt
306121	141	188447954
306459	1873	2118191469
306125	1779	2901253699
306459	1900	2139457839
306126	280	138710614
306135	962	1718008151
306125	586	1043537999
306139	1094	937286778
306135	953	1702018813
306125	409	705728405
306092	500	933852180
306125	562	995570827
306125	2228	3385442011
306122	112	202637154
306125	7	12283380
306458	9	15177707
306092	825	1469855512
306049	135	246599095
306125	594	1058760771
306125	690	1247595115
306125	347	594963201
306135	478	856096076
306458	218	381265584
306125	1503	2562671430
306454	26	38855908
306138	40	67494094
306423	112	172069730
306456	383	648273689
306092	320	602753917
306125	1429	2462454120
306459	1439	1741167854
306051	102	145426437
306125	203	354043086
306456	196	348334981
306092	913	1597222890
306138	801	1116927940
306138	705	1005861170
306456	406	685076137
306042	119	231803067
306121	134	174689712
306456	250	441559625
306125	514	908564602
306125	1539	2609127895
306125	491	864277191
306135	1063	1914533682
306135	591	1033416283
306456	326	554853357
306122	71	127264550
306458	23	41603174
306138	978	1309018700
306419	7	8181849
306125	1975	3114995028
306125	1575	2655088796
306138	89	151448585
306138	25	40109569
306432	11	18345084
306125	2209	3366565552
306423	317	575433145
306420	33	51958787
306459	1290	1603345303
306135	1007	1806732714
306419	11	14983212
306095	43	57204192
306049	280	487924074
306091	537	660613231
306049	303	523707078
306041	39	76085646
306041	69	134689980
306092	303	569201130
306051	269	372999584
306459	299	454116894
306154	262	416951053
306459	598	847467303
306154	140	201144989
306154	592	999546122
306155	551	775450842
306155	416	602295524
306169	64	53205220
306154	207	319284350
306154	545	916165397
306155	281	415696390
306051	162	227238147
306154	358	584396196
306459	613	866747414
315645	51	55682248
316187	75	103274480
316186	67	49997769
316187	47	65894821
316199	226	317141992
316187	163	223472442
316199	580	793825625
316187	332	441297497
316187	332	440493209
316187	406	532775683
316199	256	360259135
316199	514	712916856
316199	125	159640783
316199	735	991623420
316199	761	1034302816
316199	712	953057781
316722	650	930638269
316700	175	207687150
316758	140	193381056
316717	3	1920326
316766	721	958923610
316717	66	79230359
316995	89	109707494
316766	741	990799479
316766	230	282584712
316719	29	41061725
316722	154	216133137
316722	163	227418076
316766	1649	2297511211
316766	189	222234083
316766	477	612423695
316766	589	748288236
316766	664	870214215
316766	685	904883972
316766	1966	2719658366
316985	255	350089388
316766	1670	2327449041
316766	1715	2387017833
316985	462	615642655
316985	287	393914909
316758	44	53795416
316187	865	1182011095
316187	921	1257901298
316187	1388	1901797393
316187	1438	1970326516
316187	1209	1640754001
316187	1335	1828436850
316199	1048	1456781838
316202	25	32867548
316201	173	221413701
316216	171	224914617
316217	124	145697188
316218	77	115427450
316218	147	217994626
316219	95	149351151
316239	437	547326109
316470	421	550649332
316505	144	152581404
316505	491	584215377
316505	1339	1771342980
316505	1166	1530270255
316505	250	293603629
316505	577	687093952
315339	565	371361718
315322	677	455912362
315322	1343	780096663
315357	76	44493803
315339	141	87439291
315644	125	154085223
315339	164	104977540
315339	481	320224834
315420	175	134880264
315420	607	440157393
315488	267	258109754
315420	805	558707149
315420	1060	691703695
315420	1173	745450879
316569	901	1229723814
315488	51	23663482
315488	200	187100115
315488	377	366603450
316569	631	835040334
315543	99	69381023
315506	80	95924233
315557	108	123604119
315645	220	227198143
315645	200	207868259
315689	168	189309992
316058	226	274839295
316216	27	10058309
316219	218	335243960
316216	79	84537367
316216	356	475237660
316218	252	364434477
316218	352	495349330
316218	367	514436220
316240	872	1233188490
316218	558	751242307
316241	20	31393064
316239	601	756558379
316239	603	758616269
316240	102	146670656
316240	1002	1412781444
316240	1075	1513619880
316240	624	870604031
