 run  lumi   event
   1  2911  291023
   1  2911  291048
   1  2911  291058
   1  2911  291065
   1  2911  291084
   1  2911  291068
   1  2912  291125
   1  2912  291177
   1  2912  291185
   1  2914  291357
   1  2915  291419
   1  2916  291523
   1  2916  291543
   1  2916  291585
   1  2918  291760
   1  2921  292022
   1  2921  292033
   1  2921  292058
   1  2921  292079
   1  2921  292088
   1  2922  292107
   1  2923  292294
   1  2925  292439
   1  2926  292547
   1  2926  292594
   1  2927  292672
   1  2927  292681
   1  2928  292717
   1  2928  292711
   1  2929  292808
   1  2930  292925
   1  2930  292914
   1  2930  292943
   1  2930  292971
   1  2930  292956
   1  2931  293055
   1  2931  293088
   1  2932  293156
   1  2932  293148
   1  2934  293348
   1  2935  293451
   1  2935  293464
   1  2935  293493
   1  2936  293600
   1  2937  293625
   1  2937  293640
   1  2937  293669
   1  2940  293910
   1  4411  441004
   1  4412  441117
   1  4412  441129
   1  4412  441159
   1  4413  441210
   1  4413  441207
   1  4413  441294
   1  4414  441369
   1  4415  441442
   1  4415  441475
   1  4416  441598
   1  4417  441687
   1  4418  441701
   1  4418  441734
   1  4418  441742
   1  4419  441828
   1  4419  441867
   1  4419  441891
   1  4420  441944
   1  4420  441939
   1  4420  441932
   1  4420  441951
   1  4420  441970
   1  4421  442042
   1  4422  442113
   1  4422  442173
   1  4425  442402
   1  4425  442483
   1  4425  442496
   1  4426  442535
   1  4426  442556
   1  4427  442698
   1  4430  442934
   1  4432  443165
   1  4432  443186
   1  4433  443211
   1  4433  443228
   1  4433  443244
   1  4434  443316
   1  4436  443549
   1  4438  443718
   1  4439  443821
   1  4440  443994
   1  4531  453002
   1  4531  453077
   1  4532  453135
   1  4533  453214
   1  4533  453202
   1  4533  453263
   1  4534  453304
   1  4534  453314
   1  4534  453339
   1  4534  453397
   1  4534  453394
   1  4535  453499
   1  4536  453502
   1  4536  453560
   1  4536  453547
   1  4537  453609
   1  4537  453636
   1  4538  453724
   1  4539  453821
   1  4539  453812
   1  4539  453855
   1  4540  453939
   1  4540  453928
   1  4540  453959
   1  4542  454115
   1  4544  454302
   1  4544  454345
   1  4544  454320
   1  4544  454371
   1  4546  454538
   1  4546  454559
   1  4547  454634
   1  4547  454660
   1  4549  454802
   1  4550  454920
   1  4550  454991
   1  4550  455000
   1  4551  455043
   1  4551  455018
   1  4552  455123
   1  4553  455280
   1  4554  455325
   1  4554  455372
   1  4555  455482
   1  4557  455626
   1  4557  455616
   1  4558  455727
   1  4559  455851
   1  4560  455938
   1  4683  468272
   1  4685  468428
   1  4686  468508
   1  4686  468573
   1  4686  468577
   1  4688  468787
