    run  lumi       event
 301447   225   205045694
 304169   487   764595338
 305366  1168  1545130981
 301665   395   327728284
 301472   253   237806349
 301959    67    52680445
 301664    41    10401499
 301447   319   302082153
 301531    30    23315756
 301998  1312  1072045872
 301998   210   208806574
 301283   829   674745788
 301330    90    77792178
 302031   266   287280676
 302526    52    48778942
 302635  1281  1114177909
 302131    72    37317074
 302473   176   173093175
 302635    28    28678142
 302322   862   675192703
 304777   269   462913715
 304562   305   447686263
 304507   202   245819258
 304366   522   854144651
 304333   102    98260291
 304797  1365  2270024445
 304671   428   683047400
 304797  2343  3171728854
 304125   783  1158042283
 303838   122   133075728
 303999   643   985203116
 303838  1026  1414495887
 303885  1826  2161486020
 303885  1317  1715363367
 304738   474   799136852
 304562   523   840083149
 304663    25    47021687
 304738   133   235622709
 304333  1637  2340300003
 304144   488   824347055
 304562   252   353795840
 304616   458   729013901
 304671    93   105386963
 305112  1144  1951579081
 306095    83   110726420
 305809    56    37008222
 305313   124   219796159
 306038    30    58428072
 305766   129   171770709
 305064    23    34909110
 306092   618  1139577886
 305366   507   817241897
 305967    20    35948185
 305589   308   593289357
 305518   965  1565685653
 305517    63   109497212
 305842    95   113314862
 305112   219   304053089
 306459  1647  1928284447
 305237   988  1861537529
 306459    93   150885075
 306454    16    20628750
 301447    88    56689574
 301959   831   901008804
 301567   236   230046645
 301397   470   346865022
 301472   216   197670322
 302393    92   109395109
 302337    63    36354077
 302328   661   569720971
 302280    16     9621396
 302484    97   131441384
 302472   302   381050047
 302573   912   854512564
 304562   246   343943307
 304738  1478  2261854439
 304120   119   232877671
 303832   704   861104229
 304169  1027  1470312745
 304158  1236  1551055132
 304616   487   784449095
 304797  1671  2598859499
 305045   449   758687924
 305178   120   120712679
 305365   153   262316594
 305898   685  1122143826
 305589   370   706049309
 305518  1051  1670153598
 305377    44    78433412
 305237   545  1023947294
 305081   118   131642134
 305314    27    31689418
 316569   327   400382927
 316240   774  1090830534
 316722   369   494131849
 316082   278   355051364
 316766  1243  1710622035
 316766  1017  1403156441
 316505   506   601151183
 316216   352   468321131
