run	lumisection	event
316380	671	523614216
316082	384	488664165
316240	774	1090830534
316995	620	929681971
316766	1017	1403156441
316153	201	281205575
315361	73	41855259
315800	328	408260969
316766	1243	1710622035
316505	1210	1586300497
318877	404	591221686
317663	255	368092640
317626	378	545503249
317435	218	272025493
320038	211	290207164
320064	122	198069715
319347	290	384873517
323775	115	138624602
321917	194	341877825
324970	1959	3507841357
322431	269	469677959
322204	974	1734444888
322179	1392	2385035119
323702	664	1148869677
324201	909	1746161979
321122	368	601967354
324970	1382	2568342340
322113	90	89692065
321475	198	267255514
321295	214	344610632
324841	1003	1852348036
324293	454	827942587
