run	lumisection	event
1	1306	130514
1	1306	130533
1	1306	130531
1	1306	130591
1	1307	130609
1	1307	130634
1	1307	130682
1	1307	130672
1	1308	130734
1	1308	130741
1	1308	130779
1	1309	130822
1	1309	130855
1	1309	130884
1	1310	130901
1	1310	130949
1	1310	130935
1	1310	130953
1	1310	130955
1	1310	130947
1	1310	130973
1	1310	130979
1	1311	131032
1	1311	131047
1	1312	131118
1	1312	131150
1	1312	131136
1	1312	131163
1	1312	131166
1	1313	131202
1	1313	131221
1	1313	131222
1	1313	131230
1	1313	131218
1	1313	131242
1	1313	131264
1	1313	131290
1	1314	131331
1	1314	131319
1	1314	131343
1	1314	131372
1	1314	131362
1	1314	131386
1	1315	131462
1	1315	131446
1	1315	131452
1	1315	131471
1	1315	131467
1	1315	131488
1	1315	131500
1	1316	131506
1	1316	131518
1	1316	131515
1	1316	131558
1	1316	131577
1	1316	131581
1	1316	131593
1	1316	131572
1	1317	131628
1	1317	131658
1	1317	131623
1	1317	131655
1	1317	131652
1	1317	131665
1	1317	131691
1	1317	131679
1	1317	131690
1	1318	131704
1	1318	131713
1	1318	131716
1	1318	131729
1	1318	131781
1	1319	131850
1	1319	131885
1	1320	131901
1	1320	131905
1	1320	131910
1	1320	131918
1	1320	131961
1	1320	131978
1	1320	131980
1	1320	131999
1	1321	132004
1	1321	132037
1	1321	132049
1	1321	132055
1	1321	132071
1	1321	132097
1	1322	132127
1	1323	132221
1	1323	132272
1	1323	132283
1	1323	132296
1	1323	132293
1	1324	132322
1	1324	132366
1	1324	132359
1	1324	132385
1	1325	132413
1	1325	132421
1	1325	132444
1	1325	132448
1	1325	132482
1	1326	132525
1	1326	132546
1	1326	132559
1	1326	132567
1	1326	132572
1	1326	132589
1	1327	132608
1	1327	132614
1	1327	132648
1	1327	132661
1	1327	132674
1	1328	132710
1	1328	132717
1	1328	132734
1	1328	132740
1	1328	132777
1	1329	132801
1	1329	132809
1	1329	132837
1	1329	132817
1	1329	132848
1	1329	132871
1	1330	132927
1	1330	132984
1	1330	132992
1	1331	133016
1	1331	133063
1	1331	133078
1	1332	133112
1	1332	133118
1	1332	133122
1	1332	133146
1	1332	133198
1	1332	133192
1	1333	133207
1	1333	133255
1	1333	133237
1	1333	133268
1	1333	133256
1	1333	133273
1	1333	133274
1	1334	133341
1	1334	133381
1	1334	133385
1	1334	133395
1	1915	191446
1	1915	191491
1	1915	191480
1	1915	191489
1	1915	191499
1	1915	191497
1	1916	191514
1	1916	191516
1	1916	191539
1	1916	191569
1	1916	191558
1	1917	191611
1	1917	191636
1	1917	191618
1	1917	191651
1	1917	191666
1	1917	191680
1	1917	191678
1	1918	191701
1	1918	191764
1	1918	191791
1	1919	191807
1	1919	191809
1	1919	191814
1	1919	191858
1	1919	191873
1	1919	191868
1	1919	191881
1	1920	191903
1	1920	191909
1	1920	191969
1	1920	191980
1	1920	192000
1	1921	192014
1	1921	192030
1	1921	192051
1	1921	192043
1	1922	192126
1	1922	192124
1	1922	192129
1	1922	192139
1	1922	192134
1	1922	192143
1	1922	192166
1	1923	192205
1	1923	192210
1	1923	192280
1	1923	192291
1	1924	192322
1	1924	192347
1	1924	192328
1	1924	192354
1	1924	192397
1	1924	192376
1	1925	192401
1	1925	192494
1	1926	192509
1	1926	192516
1	1926	192532
1	1926	192538
1	1926	192580
