run	lumisection	evt
297411	411	663222209
297665	85	142494976
297484	17	33720069
297558	57	86200755
299065	123	188234150
299061	292	420414945
297308	36	41123312
297722	338	517730889
297219	1389	2247701989
297101	206	289516753
297599	82	127276429
299067	188	237548360
297411	117	157490798
297604	269	437876677
297177	111	167761954
297219	610	1145549737
297178	17	23551333
297114	140	239176045
297467	59	62477217
297292	8	14397482
297468	11	19516836
297483	143	183710573
297431	185	327096996
297433	129	201374857
297292	112	209037776
297487	226	300474871
297113	2	214107
297100	129	232755404
297563	8	11239036
297292	610	1096693630
297178	794	976908366
297487	190	253029483
299065	19	25022767
297505	203	307486500
297101	494	655621264
297563	234	318034564
297101	313	426922689
297227	89	64911753
297665	103	173939424
299184	213	334590779
297484	108	209479899
297177	98	148676345
297411	434	698849884
297411	671	1118749756
297503	697	1269132648
297100	375	651578822
297503	20	34902396
297219	638	1191541861
297113	82	153816323
297178	1242	1424159877
297099	38	31738561
297411	668	1114999790
297603	229	411714648
297675	302	518548121
297469	30	52104245
297562	304	479603844
297557	386	642751123
297563	142	197529429
297219	1773	2691538154
297505	86	130857613
297430	105	201635257
297114	110	190443307
297503	114	216193261
299064	17	18117451
297620	89	98328056
297431	60	107139899
299065	186	285968815
297176	20	16150317
297487	531	681749143
297488	418	454882559
297487	518	665958428
297411	780	1302983411
297219	396	781651585
297411	442	711380937
297603	402	724597337
297487	581	740857138
297292	257	468115539
297486	139	235538203
297603	310	562069433
297433	58	90908614
297484	192	365156702
297503	302	546072899
297411	607	1008043509
297219	1164	1959797910
297219	1168	1964851262
297296	310	446494478
299067	392	489085252
297292	295	530491280
297486	418	677611733
297675	87	140883858
297486	107	180779417
297430	190	361297503
297424	65	73171922
297485	140	241913490
297432	48	79549380
297219	488	939133004
299064	63	95223450
297431	25	45502428
299065	141	215754645
297656	426	706129565
297656	428	709492665
297100	222	410280242
299184	457	755311354
297505	124	189572722
299184	370	613007840
299061	128	138821449
299061	323	471953478
299329	152	257520651
297620	220	315482789
297723	141	262359104
299061	237	322485869
297675	320	548846993
297604	177	292166171
297620	195	275196062
297503	361	654644178
299184	164	254599711
297505	63	95631183
299329	40	69613410
297620	308	453044639
299185	49	76541650
299184	330	544089556
297674	51	82868651
297674	55	89923639
297557	78	115481619
297605	85	130164229
297606	148	188113481
299067	128	163313354
297722	78	61844374
297722	179	246651461
297722	180	248658773
299149	269	348309814
299149	285	374982001
297178	374	495771636
297178	693	866248061
301524	5	3560134
300122	272	367195053
300122	289	393192911
300122	302	410527481
300122	1262	1695468339
300635	167	229633317
300459	294	446354264
300122	911	1257615342
300636	686	875128593
300636	691	880741729
301941	97	81498973
299370	359	456187919
300576	856	1250616738
300155	1203	1601372690
300122	1005	1375697290
301476	421	324327715
301448	104	91583391
301448	97	84799761
300515	624	999851932
300515	361	602595605
300155	685	921857576
300226	388	535617470
300226	418	581022245
301476	234	182741331
301959	399	470147560
300515	450	735927347
301665	465	381572057
300560	232	275594247
300558	206	292060572
301472	86	54828308
300515	262	447540893
300576	297	457067246
301448	200	173522792
300517	485	570797602
301323	986	905204392
301461	417	403283834
300576	432	650941803
300155	193	230862299
300284	444	603770841
300236	102	136680024
300284	370	509020827
300558	95	124031261
300515	960	1487940380
300155	732	985254942
300515	429	704014017
301448	324	276004634
301941	334	318999299
300633	23	35657157
300635	54	75578623
301959	1321	1298033890
300558	46	58637480
301959	1443	1388569236
301627	515	452203545
300238	263	263318518
300811	406	674954745
300282	3	2159794
300631	153	167595955
301997	239	249203320
301323	889	838607871
300280	415	522061289
301665	206	177196880
300234	12	18763208
300780	113	166084172
300780	144	210606632
301417	279	288756998
300284	637	836508095
300558	54	69089010
301959	313	371287015
300635	105	145825104
301627	607	523164986
300636	16	21096593
300742	245	362622270
300742	233	342415398
300742	251	371789943
300240	285	255019197
300817	424	588060015
300817	433	599859333
300742	173	230166618
299480	247	358409536
301472	179	157630763
300280	95	78431269
300280	301	366428388
300155	1096	1471764773
301627	620	533009090
300515	646	1032163434
300576	166	249370448
300816	14	15995138
301960	92	54072247
